Language,Number of speakers,"Speak English less than ""Very Well"""
English only,"62,532",(X)
Spanish,"5,885","1,775"
French,85,13
Italian,18,(B)
Portuguese,45,(B)
German,85,(B)
Scandinavian languages (Swedish or Norwegian),34,(B)
Russian,56,(B)
Polish,55,20
Serbo-Croatian languages,6,(B)
Other Slavic languages (Czech),11,(B)
Persian,2,(B)
Hindi,38,7
Panjabi,90,40
Irish Gaelic,1,(B)
"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",35,(B)
Japanese,58,8
Korean,26,12
"Mon-Khmer, Cambodian",48,48
Vietnamese,8,(B)
Tagalog,122,24
Other Pacific Island languages,89,15
Navajo,"19,745","6,194"
Ottawa,(D),(B)
Apache,"5,700",205
Delta River Yuman,(D),(B)
Havasupai,(D),(B)
Dakota,50,(B)
Omaha,(D),(B)
Keres,140,(D)
Hopi,"3,590",990
Pima,60,(B)
Yaqui,(D),(B)
Tewa,110,80
Towa,(D),(B)
San Carlos,70,(D)
Arabic,32,8
Hebrew,1,(B)
Other and unspecified languages,19,19
Aztecan,(D),(D)
