,region,category,language,type,count
0,Montréal,Aboriginal languages,"Aboriginal languages, n.o.s.",most_at_home,15
1,Montréal,Aboriginal languages,"Aboriginal languages, n.o.s.",most_at_work,0
2,Toronto,Aboriginal languages,"Aboriginal languages, n.o.s.",most_at_home,50
3,Toronto,Aboriginal languages,"Aboriginal languages, n.o.s.",most_at_work,0
4,Calgary,Aboriginal languages,"Aboriginal languages, n.o.s.",most_at_home,5
5,Calgary,Aboriginal languages,"Aboriginal languages, n.o.s.",most_at_work,0
6,Edmonton,Aboriginal languages,"Aboriginal languages, n.o.s.",most_at_home,10
7,Edmonton,Aboriginal languages,"Aboriginal languages, n.o.s.",most_at_work,0
8,Vancouver,Aboriginal languages,"Aboriginal languages, n.o.s.",most_at_home,15
9,Vancouver,Aboriginal languages,"Aboriginal languages, n.o.s.",most_at_work,0
10,Montréal,Non-Official & Non-Aboriginal languages,Afrikaans,most_at_home,10
11,Montréal,Non-Official & Non-Aboriginal languages,Afrikaans,most_at_work,0
12,Toronto,Non-Official & Non-Aboriginal languages,Afrikaans,most_at_home,265
13,Toronto,Non-Official & Non-Aboriginal languages,Afrikaans,most_at_work,0
14,Calgary,Non-Official & Non-Aboriginal languages,Afrikaans,most_at_home,505
15,Calgary,Non-Official & Non-Aboriginal languages,Afrikaans,most_at_work,15
16,Edmonton,Non-Official & Non-Aboriginal languages,Afrikaans,most_at_home,300
17,Edmonton,Non-Official & Non-Aboriginal languages,Afrikaans,most_at_work,0
18,Vancouver,Non-Official & Non-Aboriginal languages,Afrikaans,most_at_home,520
19,Vancouver,Non-Official & Non-Aboriginal languages,Afrikaans,most_at_work,10
20,Montréal,Non-Official & Non-Aboriginal languages,"Afro-Asiatic languages, n.i.e.",most_at_home,65
21,Montréal,Non-Official & Non-Aboriginal languages,"Afro-Asiatic languages, n.i.e.",most_at_work,0
22,Toronto,Non-Official & Non-Aboriginal languages,"Afro-Asiatic languages, n.i.e.",most_at_home,185
23,Toronto,Non-Official & Non-Aboriginal languages,"Afro-Asiatic languages, n.i.e.",most_at_work,10
24,Calgary,Non-Official & Non-Aboriginal languages,"Afro-Asiatic languages, n.i.e.",most_at_home,15
25,Calgary,Non-Official & Non-Aboriginal languages,"Afro-Asiatic languages, n.i.e.",most_at_work,0
26,Edmonton,Non-Official & Non-Aboriginal languages,"Afro-Asiatic languages, n.i.e.",most_at_home,20
27,Edmonton,Non-Official & Non-Aboriginal languages,"Afro-Asiatic languages, n.i.e.",most_at_work,0
28,Vancouver,Non-Official & Non-Aboriginal languages,"Afro-Asiatic languages, n.i.e.",most_at_home,10
29,Vancouver,Non-Official & Non-Aboriginal languages,"Afro-Asiatic languages, n.i.e.",most_at_work,0
30,Montréal,Non-Official & Non-Aboriginal languages,Akan (Twi),most_at_home,440
31,Montréal,Non-Official & Non-Aboriginal languages,Akan (Twi),most_at_work,0
32,Toronto,Non-Official & Non-Aboriginal languages,Akan (Twi),most_at_home,4045
33,Toronto,Non-Official & Non-Aboriginal languages,Akan (Twi),most_at_work,20
34,Calgary,Non-Official & Non-Aboriginal languages,Akan (Twi),most_at_home,330
35,Calgary,Non-Official & Non-Aboriginal languages,Akan (Twi),most_at_work,0
36,Edmonton,Non-Official & Non-Aboriginal languages,Akan (Twi),most_at_home,445
37,Edmonton,Non-Official & Non-Aboriginal languages,Akan (Twi),most_at_work,0
38,Vancouver,Non-Official & Non-Aboriginal languages,Akan (Twi),most_at_home,125
39,Vancouver,Non-Official & Non-Aboriginal languages,Akan (Twi),most_at_work,10
40,Montréal,Non-Official & Non-Aboriginal languages,Albanian,most_at_home,1445
41,Montréal,Non-Official & Non-Aboriginal languages,Albanian,most_at_work,20
42,Toronto,Non-Official & Non-Aboriginal languages,Albanian,most_at_home,6380
43,Toronto,Non-Official & Non-Aboriginal languages,Albanian,most_at_work,215
44,Calgary,Non-Official & Non-Aboriginal languages,Albanian,most_at_home,620
45,Calgary,Non-Official & Non-Aboriginal languages,Albanian,most_at_work,25
46,Edmonton,Non-Official & Non-Aboriginal languages,Albanian,most_at_home,370
47,Edmonton,Non-Official & Non-Aboriginal languages,Albanian,most_at_work,10
48,Vancouver,Non-Official & Non-Aboriginal languages,Albanian,most_at_home,530
49,Vancouver,Non-Official & Non-Aboriginal languages,Albanian,most_at_work,10
50,Montréal,Aboriginal languages,"Algonquian languages, n.i.e.",most_at_home,0
51,Montréal,Aboriginal languages,"Algonquian languages, n.i.e.",most_at_work,0
52,Toronto,Aboriginal languages,"Algonquian languages, n.i.e.",most_at_home,5
53,Toronto,Aboriginal languages,"Algonquian languages, n.i.e.",most_at_work,0
54,Calgary,Aboriginal languages,"Algonquian languages, n.i.e.",most_at_home,0
55,Calgary,Aboriginal languages,"Algonquian languages, n.i.e.",most_at_work,0
56,Edmonton,Aboriginal languages,"Algonquian languages, n.i.e.",most_at_home,0
57,Edmonton,Aboriginal languages,"Algonquian languages, n.i.e.",most_at_work,0
58,Vancouver,Aboriginal languages,"Algonquian languages, n.i.e.",most_at_home,0
59,Vancouver,Aboriginal languages,"Algonquian languages, n.i.e.",most_at_work,0
60,Montréal,Aboriginal languages,Algonquin,most_at_home,10
61,Montréal,Aboriginal languages,Algonquin,most_at_work,0
62,Toronto,Aboriginal languages,Algonquin,most_at_home,0
63,Toronto,Aboriginal languages,Algonquin,most_at_work,0
64,Calgary,Aboriginal languages,Algonquin,most_at_home,0
65,Calgary,Aboriginal languages,Algonquin,most_at_work,0
66,Edmonton,Aboriginal languages,Algonquin,most_at_home,0
67,Edmonton,Aboriginal languages,Algonquin,most_at_work,0
68,Vancouver,Aboriginal languages,Algonquin,most_at_home,0
69,Vancouver,Aboriginal languages,Algonquin,most_at_work,0
