,category,language,City,number_speakers
0,Aboriginal languages,"Aboriginal languages, n.o.s.",Toronto,80
1,Non-Official & Non-Aboriginal languages,Afrikaans,Toronto,985
2,Non-Official & Non-Aboriginal languages,"Afro-Asiatic languages, n.i.e.",Toronto,360
3,Non-Official & Non-Aboriginal languages,Akan (Twi),Toronto,8485
4,Non-Official & Non-Aboriginal languages,Albanian,Toronto,13260
5,Aboriginal languages,"Algonquian languages, n.i.e.",Toronto,5
6,Aboriginal languages,Algonquin,Toronto,5
7,Non-Official & Non-Aboriginal languages,American Sign Language,Toronto,470
8,Non-Official & Non-Aboriginal languages,Amharic,Toronto,7460
9,Non-Official & Non-Aboriginal languages,Arabic,Toronto,85175
10,Non-Official & Non-Aboriginal languages,Armenian,Toronto,12575
11,Non-Official & Non-Aboriginal languages,Assyrian Neo-Aramaic,Toronto,10200
12,Aboriginal languages,"Athabaskan languages, n.i.e.",Toronto,5
13,Aboriginal languages,Atikamekw,Toronto,0
14,Non-Official & Non-Aboriginal languages,"Austro-Asiatic languages, n.i.e",Toronto,65
15,Non-Official & Non-Aboriginal languages,"Austronesian languages, n.i.e.",Toronto,1015
16,Non-Official & Non-Aboriginal languages,Azerbaijani,Toronto,1615
17,Aboriginal languages,Babine (Wetsuwet'en),Toronto,0
18,Non-Official & Non-Aboriginal languages,Bamanankan,Toronto,55
19,Aboriginal languages,Beaver,Toronto,0
20,Non-Official & Non-Aboriginal languages,Belarusan,Toronto,355
21,Non-Official & Non-Aboriginal languages,Bengali,Toronto,38320
22,Non-Official & Non-Aboriginal languages,"Berber languages, n.i.e.",Toronto,115
23,Non-Official & Non-Aboriginal languages,Bikol,Toronto,470
24,Non-Official & Non-Aboriginal languages,Bilen,Toronto,80
25,Aboriginal languages,Blackfoot,Toronto,5
26,Non-Official & Non-Aboriginal languages,Bosnian,Toronto,2750
27,Non-Official & Non-Aboriginal languages,Bulgarian,Toronto,6950
28,Non-Official & Non-Aboriginal languages,Burmese,Toronto,1005
29,Non-Official & Non-Aboriginal languages,Cantonese,Toronto,247710
30,Aboriginal languages,Carrier,Toronto,5
31,Non-Official & Non-Aboriginal languages,Catalan,Toronto,165
32,Aboriginal languages,Cayuga,Toronto,0
33,Non-Official & Non-Aboriginal languages,Cebuano,Toronto,5080
34,Non-Official & Non-Aboriginal languages,"Celtic languages, n.i.e.",Toronto,140
35,Non-Official & Non-Aboriginal languages,Chaldean Neo-Aramaic,Toronto,1845
36,Aboriginal languages,Chilcotin,Toronto,0
37,Non-Official & Non-Aboriginal languages,"Chinese languages, n.i.e.",Toronto,190
38,Non-Official & Non-Aboriginal languages,"Chinese, n.o.s.",Toronto,11080
39,Aboriginal languages,Comox,Toronto,0
40,Aboriginal languages,"Cree, n.o.s.",Toronto,55
41,Non-Official & Non-Aboriginal languages,"Creole languages, n.i.e.",Toronto,1920
42,Non-Official & Non-Aboriginal languages,"Creole, n.o.s.",Toronto,3380
43,Non-Official & Non-Aboriginal languages,Croatian,Toronto,16525
44,Non-Official & Non-Aboriginal languages,"Cushitic languages, n.i.e.",Toronto,65
45,Non-Official & Non-Aboriginal languages,Czech,Toronto,4790
46,Aboriginal languages,Dakota,Toronto,0
47,Non-Official & Non-Aboriginal languages,Danish,Toronto,1570
48,Aboriginal languages,Dene,Toronto,10
49,Non-Official & Non-Aboriginal languages,Dinka,Toronto,45
50,Aboriginal languages,Dogrib (Tlicho),Toronto,5
51,Non-Official & Non-Aboriginal languages,"Dravidian languages, n.i.e.",Toronto,270
52,Non-Official & Non-Aboriginal languages,Dutch,Toronto,8585
53,Non-Official & Non-Aboriginal languages,Edo,Toronto,1020
54,Official languages,English,Toronto,3061820
55,Non-Official & Non-Aboriginal languages,Estonian,Toronto,2690
56,Non-Official & Non-Aboriginal languages,Ewe,Toronto,370
57,Non-Official & Non-Aboriginal languages,Fijian,Toronto,55
58,Non-Official & Non-Aboriginal languages,Finnish,Toronto,2515
59,Official languages,French,Toronto,65530
60,Non-Official & Non-Aboriginal languages,Frisian,Toronto,135
61,Non-Official & Non-Aboriginal languages,"Fulah (Pular, Pulaar, Fulfulde)",Toronto,225
62,Non-Official & Non-Aboriginal languages,Ga,Toronto,445
63,Non-Official & Non-Aboriginal languages,Ganda,Toronto,515
64,Non-Official & Non-Aboriginal languages,Georgian,Toronto,1110
65,Non-Official & Non-Aboriginal languages,German,Toronto,29425
66,Non-Official & Non-Aboriginal languages,"Germanic languages, n.i.e.",Toronto,50
67,Aboriginal languages,Gitxsan (Gitksan),Toronto,0
68,Non-Official & Non-Aboriginal languages,Greek,Toronto,41225
69,Non-Official & Non-Aboriginal languages,Gujarati,Toronto,64115
70,Aboriginal languages,Gwich'in,Toronto,0
71,Aboriginal languages,Haida,Toronto,5
72,Aboriginal languages,Haisla,Toronto,0
73,Non-Official & Non-Aboriginal languages,Haitian Creole,Toronto,200
74,Non-Official & Non-Aboriginal languages,Hakka,Toronto,6495
75,Aboriginal languages,Halkomelem,Toronto,0
76,Non-Official & Non-Aboriginal languages,Harari,Toronto,925
77,Non-Official & Non-Aboriginal languages,Hebrew,Toronto,10385
78,Aboriginal languages,Heiltsuk,Toronto,5
79,Non-Official & Non-Aboriginal languages,Hiligaynon,Toronto,2320
80,Non-Official & Non-Aboriginal languages,Hindi,Toronto,48140
81,Non-Official & Non-Aboriginal languages,Hmong-Mien languages,Toronto,25
82,Non-Official & Non-Aboriginal languages,Hungarian,Toronto,19130
83,Non-Official & Non-Aboriginal languages,Icelandic,Toronto,85
84,Non-Official & Non-Aboriginal languages,Igbo,Toronto,1520
85,Non-Official & Non-Aboriginal languages,Ilocano,Toronto,9415
86,Non-Official & Non-Aboriginal languages,"Indo-Iranian languages, n.i.e.",Toronto,1920
87,Aboriginal languages,Inuinnaqtun (Inuvialuktun),Toronto,0
88,Aboriginal languages,"Inuit languages, n.i.e.",Toronto,0
89,Aboriginal languages,Inuktitut,Toronto,30
90,Aboriginal languages,"Iroquoian languages, n.i.e.",Toronto,5
91,Non-Official & Non-Aboriginal languages,Italian,Toronto,151415
92,Non-Official & Non-Aboriginal languages,"Italic (Romance) languages, n.i.e.",Toronto,225
93,Non-Official & Non-Aboriginal languages,Japanese,Toronto,9650
94,Non-Official & Non-Aboriginal languages,Kabyle,Toronto,105
95,Non-Official & Non-Aboriginal languages,Kannada,Toronto,2020
96,Non-Official & Non-Aboriginal languages,Karenic languages,Toronto,265
97,Non-Official & Non-Aboriginal languages,Kashmiri,Toronto,275
98,Aboriginal languages,Kaska (Nahani),Toronto,0
99,Non-Official & Non-Aboriginal languages,Khmer (Cambodian),Toronto,3095
100,Non-Official & Non-Aboriginal languages,Kinyarwanda (Rwanda),Toronto,385
101,Non-Official & Non-Aboriginal languages,Konkani,Toronto,2155
102,Non-Official & Non-Aboriginal languages,Korean,Toronto,55005
103,Non-Official & Non-Aboriginal languages,Kurdish,Toronto,2775
104,Aboriginal languages,Kutenai,Toronto,0
105,Aboriginal languages,Kwakiutl (Kwak'wala),Toronto,0
106,Non-Official & Non-Aboriginal languages,Lao,Toronto,2275
107,Non-Official & Non-Aboriginal languages,Latvian,Toronto,2260
108,Aboriginal languages,Lillooet,Toronto,0
109,Non-Official & Non-Aboriginal languages,Lingala,Toronto,375
110,Non-Official & Non-Aboriginal languages,Lithuanian,Toronto,3190
111,Non-Official & Non-Aboriginal languages,Macedonian,Toronto,12015
112,Non-Official & Non-Aboriginal languages,Malagasy,Toronto,30
113,Non-Official & Non-Aboriginal languages,Malay,Toronto,4420
114,Non-Official & Non-Aboriginal languages,Malayalam,Toronto,12530
115,Aboriginal languages,Malecite,Toronto,0
116,Non-Official & Non-Aboriginal languages,Maltese,Toronto,3525
117,Non-Official & Non-Aboriginal languages,Mandarin,Toronto,227085
118,Non-Official & Non-Aboriginal languages,Marathi,Toronto,4465
119,Aboriginal languages,Mi'kmaq,Toronto,25
120,Aboriginal languages,Michif,Toronto,5
121,Non-Official & Non-Aboriginal languages,Min Dong,Toronto,765
122,Non-Official & Non-Aboriginal languages,"Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",Toronto,11580
123,Aboriginal languages,Mohawk,Toronto,15
124,Non-Official & Non-Aboriginal languages,Mongolian,Toronto,345
125,Aboriginal languages,Montagnais (Innu),Toronto,0
126,Aboriginal languages,Moose Cree,Toronto,10
127,Aboriginal languages,Naskapi,Toronto,0
128,Non-Official & Non-Aboriginal languages,Nepali,Toronto,4680
129,Non-Official & Non-Aboriginal languages,"Niger-Congo languages, n.i.e.",Toronto,2940
130,Non-Official & Non-Aboriginal languages,"Nilo-Saharan languages, n.i.e.",Toronto,315
131,Aboriginal languages,Nisga'a,Toronto,0
132,Aboriginal languages,North Slavey (Hare),Toronto,0
133,Aboriginal languages,Northern East Cree,Toronto,0
134,Aboriginal languages,Northern Tutchone,Toronto,0
135,Non-Official & Non-Aboriginal languages,Norwegian,Toronto,380
136,Aboriginal languages,Nuu-chah-nulth (Nootka),Toronto,0
137,Aboriginal languages,Oji-Cree,Toronto,10
138,Aboriginal languages,Ojibway,Toronto,225
139,Aboriginal languages,Okanagan,Toronto,0
140,Aboriginal languages,Oneida,Toronto,0
141,Non-Official & Non-Aboriginal languages,Oriya (Odia),Toronto,580
142,Non-Official & Non-Aboriginal languages,Oromo,Toronto,1010
143,Non-Official & Non-Aboriginal languages,"Other languages, n.i.e.",Toronto,960
144,Aboriginal languages,Ottawa (Odawa),Toronto,15
145,Non-Official & Non-Aboriginal languages,"Pampangan (Kapampangan, Pampango)",Toronto,1305
146,Non-Official & Non-Aboriginal languages,Pangasinan,Toronto,455
147,Non-Official & Non-Aboriginal languages,Pashto,Toronto,7685
148,Non-Official & Non-Aboriginal languages,Persian (Farsi),Toronto,100640
149,Aboriginal languages,Plains Cree,Toronto,5
150,Non-Official & Non-Aboriginal languages,Polish,Toronto,69860
151,Non-Official & Non-Aboriginal languages,Portuguese,Toronto,104305
152,Non-Official & Non-Aboriginal languages,Punjabi (Panjabi),Toronto,171225
153,Non-Official & Non-Aboriginal languages,Quebec Sign Language,Toronto,0
154,Non-Official & Non-Aboriginal languages,Romanian,Toronto,25070
155,Non-Official & Non-Aboriginal languages,Rundi (Kirundi),Toronto,355
156,Non-Official & Non-Aboriginal languages,Russian,Toronto,83105
157,Aboriginal languages,"Salish languages, n.i.e.",Toronto,0
158,Aboriginal languages,Sarsi (Sarcee),Toronto,10
159,Non-Official & Non-Aboriginal languages,Scottish Gaelic,Toronto,165
160,Aboriginal languages,Sekani,Toronto,0
161,Non-Official & Non-Aboriginal languages,"Semitic languages, n.i.e.",Toronto,925
162,Non-Official & Non-Aboriginal languages,Serbian,Toronto,21420
163,Non-Official & Non-Aboriginal languages,Serbo-Croatian,Toronto,2420
164,Non-Official & Non-Aboriginal languages,Shona,Toronto,685
165,Aboriginal languages,Shuswap (Secwepemctsin),Toronto,0
166,Non-Official & Non-Aboriginal languages,"Sign languages, n.i.e",Toronto,750
167,Non-Official & Non-Aboriginal languages,Sindhi,Toronto,5800
168,Non-Official & Non-Aboriginal languages,Sinhala (Sinhalese),Toronto,7860
169,Aboriginal languages,"Siouan languages, n.i.e.",Toronto,0
170,Aboriginal languages,"Slavey, n.o.s.",Toronto,0
171,Non-Official & Non-Aboriginal languages,"Slavic languages, n.i.e.",Toronto,510
172,Non-Official & Non-Aboriginal languages,Slovak,Toronto,5255
173,Non-Official & Non-Aboriginal languages,Slovene (Slovenian),Toronto,3705
174,Non-Official & Non-Aboriginal languages,Somali,Toronto,13255
175,Aboriginal languages,South Slavey,Toronto,0
176,Aboriginal languages,Southern East Cree,Toronto,0
177,Aboriginal languages,Southern Tutchone,Toronto,0
178,Non-Official & Non-Aboriginal languages,Spanish,Toronto,126500
179,Aboriginal languages,Squamish,Toronto,0
180,Aboriginal languages,Stoney,Toronto,0
181,Aboriginal languages,Straits,Toronto,0
182,Non-Official & Non-Aboriginal languages,Swahili,Toronto,3215
183,Aboriginal languages,Swampy Cree,Toronto,30
184,Non-Official & Non-Aboriginal languages,Swedish,Toronto,1140
185,Non-Official & Non-Aboriginal languages,"Tagalog (Pilipino, Filipino)",Toronto,136110
186,Aboriginal languages,Tahltan,Toronto,0
187,Non-Official & Non-Aboriginal languages,"Tai-Kadai languages, n.i.e",Toronto,20
188,Non-Official & Non-Aboriginal languages,Tamil,Toronto,109580
189,Non-Official & Non-Aboriginal languages,Telugu,Toronto,9010
190,Non-Official & Non-Aboriginal languages,Thai,Toronto,1645
191,Aboriginal languages,Thompson (Ntlakapamux),Toronto,0
192,Non-Official & Non-Aboriginal languages,Tibetan,Toronto,4875
193,Non-Official & Non-Aboriginal languages,"Tibeto-Burman languages, n.i.e.",Toronto,335
194,Non-Official & Non-Aboriginal languages,Tigrigna,Toronto,4720
195,Aboriginal languages,Tlingit,Toronto,0
196,Aboriginal languages,Tsimshian,Toronto,0
197,Non-Official & Non-Aboriginal languages,"Turkic languages, n.i.e.",Toronto,410
198,Non-Official & Non-Aboriginal languages,Turkish,Toronto,13695
199,Non-Official & Non-Aboriginal languages,Ukrainian,Toronto,26545
200,Non-Official & Non-Aboriginal languages,"Uralic languages, n.i.e.",Toronto,0
201,Non-Official & Non-Aboriginal languages,Urdu,Toronto,128845
202,Non-Official & Non-Aboriginal languages,Uyghur,Toronto,385
203,Non-Official & Non-Aboriginal languages,Uzbek,Toronto,595
204,Non-Official & Non-Aboriginal languages,Vietnamese,Toronto,48000
205,Non-Official & Non-Aboriginal languages,Vlaams (Flemish),Toronto,280
206,Aboriginal languages,"Wakashan languages, n.i.e.",Toronto,0
207,Non-Official & Non-Aboriginal languages,Waray-Waray,Toronto,310
208,Non-Official & Non-Aboriginal languages,Welsh,Toronto,150
209,Non-Official & Non-Aboriginal languages,Wolof,Toronto,165
210,Aboriginal languages,Woods Cree,Toronto,5
211,Non-Official & Non-Aboriginal languages,Wu (Shanghainese),Toronto,5290
212,Non-Official & Non-Aboriginal languages,Yiddish,Toronto,3355
213,Non-Official & Non-Aboriginal languages,Yoruba,Toronto,3380
214,Aboriginal languages,"Aboriginal languages, n.o.s.",Montréal,30
215,Non-Official & Non-Aboriginal languages,Afrikaans,Montréal,90
216,Non-Official & Non-Aboriginal languages,"Afro-Asiatic languages, n.i.e.",Montréal,240
217,Non-Official & Non-Aboriginal languages,Akan (Twi),Montréal,1015
218,Non-Official & Non-Aboriginal languages,Albanian,Montréal,2450
219,Aboriginal languages,"Algonquian languages, n.i.e.",Montréal,5
220,Aboriginal languages,Algonquin,Montréal,30
221,Non-Official & Non-Aboriginal languages,American Sign Language,Montréal,50
222,Non-Official & Non-Aboriginal languages,Amharic,Montréal,665
223,Non-Official & Non-Aboriginal languages,Arabic,Montréal,151955
224,Non-Official & Non-Aboriginal languages,Armenian,Montréal,16170
225,Non-Official & Non-Aboriginal languages,Assyrian Neo-Aramaic,Montréal,125
226,Aboriginal languages,"Athabaskan languages, n.i.e.",Montréal,0
227,Aboriginal languages,Atikamekw,Montréal,30
228,Non-Official & Non-Aboriginal languages,"Austro-Asiatic languages, n.i.e",Montréal,15
229,Non-Official & Non-Aboriginal languages,"Austronesian languages, n.i.e.",Montréal,275
230,Non-Official & Non-Aboriginal languages,Azerbaijani,Montréal,260
231,Aboriginal languages,Babine (Wetsuwet'en),Montréal,0
232,Non-Official & Non-Aboriginal languages,Bamanankan,Montréal,975
