,region,category,language,most_at_home,most_at_work
0,Calgary,Aboriginal languages,"Aboriginal languages, n.o.s.",5,0
1,Calgary,Aboriginal languages,"Algonquian languages, n.i.e.",0,0
2,Calgary,Aboriginal languages,Algonquin,0,0
3,Calgary,Aboriginal languages,"Athabaskan languages, n.i.e.",0,0
4,Calgary,Aboriginal languages,Atikamekw,0,0
5,Calgary,Aboriginal languages,Babine (Wetsuwet'en),0,0
6,Calgary,Aboriginal languages,Beaver,0,0
7,Calgary,Aboriginal languages,Blackfoot,60,0
8,Calgary,Aboriginal languages,Carrier,0,0
9,Calgary,Aboriginal languages,Cayuga,0,0
10,Calgary,Aboriginal languages,Chilcotin,0,0
11,Calgary,Aboriginal languages,Comox,0,0
12,Calgary,Aboriginal languages,"Cree, n.o.s.",60,0
13,Calgary,Aboriginal languages,Dakota,10,0
14,Calgary,Aboriginal languages,Dene,10,0
15,Calgary,Aboriginal languages,Dogrib (Tlicho),0,0
16,Calgary,Aboriginal languages,Gitxsan (Gitksan),0,0
17,Calgary,Aboriginal languages,Gwich'in,5,0
18,Calgary,Aboriginal languages,Haida,0,0
19,Calgary,Aboriginal languages,Haisla,0,0
20,Calgary,Aboriginal languages,Halkomelem,0,0
21,Calgary,Aboriginal languages,Heiltsuk,0,0
22,Calgary,Aboriginal languages,Inuinnaqtun (Inuvialuktun),0,0
23,Calgary,Aboriginal languages,"Inuit languages, n.i.e.",5,0
24,Calgary,Aboriginal languages,Inuktitut,0,0
25,Calgary,Aboriginal languages,"Iroquoian languages, n.i.e.",0,0
26,Calgary,Aboriginal languages,Kaska (Nahani),0,0
27,Calgary,Aboriginal languages,Kutenai,0,0
28,Calgary,Aboriginal languages,Kwakiutl (Kwak'wala),0,0
29,Calgary,Aboriginal languages,Lillooet,0,0
30,Calgary,Aboriginal languages,Malecite,0,0
31,Calgary,Aboriginal languages,Mi'kmaq,0,0
32,Calgary,Aboriginal languages,Michif,5,0
33,Calgary,Aboriginal languages,Mohawk,0,0
34,Calgary,Aboriginal languages,Montagnais (Innu),0,0
35,Calgary,Aboriginal languages,Moose Cree,0,0
36,Calgary,Aboriginal languages,Naskapi,0,0
37,Calgary,Aboriginal languages,Nisga'a,0,0
38,Calgary,Aboriginal languages,North Slavey (Hare),0,0
39,Calgary,Aboriginal languages,Northern East Cree,0,0
40,Calgary,Aboriginal languages,Northern Tutchone,0,0
41,Calgary,Aboriginal languages,Nuu-chah-nulth (Nootka),0,0
42,Calgary,Aboriginal languages,Oji-Cree,0,0
43,Calgary,Aboriginal languages,Ojibway,5,0
44,Calgary,Aboriginal languages,Okanagan,0,0
45,Calgary,Aboriginal languages,Oneida,0,0
46,Calgary,Aboriginal languages,Ottawa (Odawa),0,0
47,Calgary,Aboriginal languages,Plains Cree,10,0
48,Calgary,Aboriginal languages,"Salish languages, n.i.e.",0,0
49,Calgary,Aboriginal languages,Sarsi (Sarcee),10,10
50,Calgary,Aboriginal languages,Sekani,0,0
51,Calgary,Aboriginal languages,Shuswap (Secwepemctsin),0,0
52,Calgary,Aboriginal languages,"Siouan languages, n.i.e.",0,0
53,Calgary,Aboriginal languages,"Slavey, n.o.s.",0,0
54,Calgary,Aboriginal languages,South Slavey,0,0
55,Calgary,Aboriginal languages,Southern East Cree,0,0
56,Calgary,Aboriginal languages,Southern Tutchone,0,0
57,Calgary,Aboriginal languages,Squamish,0,0
58,Calgary,Aboriginal languages,Stoney,30,0
59,Calgary,Aboriginal languages,Straits,0,0
60,Calgary,Aboriginal languages,Swampy Cree,0,0
61,Calgary,Aboriginal languages,Tahltan,0,0
62,Calgary,Aboriginal languages,Thompson (Ntlakapamux),0,0
63,Calgary,Aboriginal languages,Tlingit,0,0
64,Calgary,Aboriginal languages,Tsimshian,0,0
65,Calgary,Aboriginal languages,"Wakashan languages, n.i.e.",0,0
66,Calgary,Aboriginal languages,Woods Cree,0,0
67,Calgary,Non-Official & Non-Aboriginal languages,Afrikaans,505,15
68,Calgary,Non-Official & Non-Aboriginal languages,"Afro-Asiatic languages, n.i.e.",15,0
69,Calgary,Non-Official & Non-Aboriginal languages,Akan (Twi),330,0
70,Calgary,Non-Official & Non-Aboriginal languages,Albanian,620,25
71,Calgary,Non-Official & Non-Aboriginal languages,American Sign Language,85,25
72,Calgary,Non-Official & Non-Aboriginal languages,Amharic,2730,50
73,Calgary,Non-Official & Non-Aboriginal languages,Arabic,11010,240
74,Calgary,Non-Official & Non-Aboriginal languages,Armenian,110,0
75,Calgary,Non-Official & Non-Aboriginal languages,Assyrian Neo-Aramaic,200,10
76,Calgary,Non-Official & Non-Aboriginal languages,"Austro-Asiatic languages, n.i.e",5,0
77,Calgary,Non-Official & Non-Aboriginal languages,"Austronesian languages, n.i.e.",145,0
78,Calgary,Non-Official & Non-Aboriginal languages,Azerbaijani,100,0
79,Calgary,Non-Official & Non-Aboriginal languages,Bamanankan,5,0
80,Calgary,Non-Official & Non-Aboriginal languages,Belarusan,0,0
81,Calgary,Non-Official & Non-Aboriginal languages,Bengali,2750,15
82,Calgary,Non-Official & Non-Aboriginal languages,"Berber languages, n.i.e.",35,0
83,Calgary,Non-Official & Non-Aboriginal languages,Bikol,45,0
84,Calgary,Non-Official & Non-Aboriginal languages,Bilen,45,0
85,Calgary,Non-Official & Non-Aboriginal languages,Bosnian,395,15
86,Calgary,Non-Official & Non-Aboriginal languages,Bulgarian,480,0
87,Calgary,Non-Official & Non-Aboriginal languages,Burmese,175,15
88,Calgary,Non-Official & Non-Aboriginal languages,Cantonese,22245,2845
89,Calgary,Non-Official & Non-Aboriginal languages,Catalan,20,0
90,Calgary,Non-Official & Non-Aboriginal languages,Cebuano,865,0
91,Calgary,Non-Official & Non-Aboriginal languages,"Celtic languages, n.i.e.",5,0
92,Calgary,Non-Official & Non-Aboriginal languages,Chaldean Neo-Aramaic,75,0
93,Calgary,Non-Official & Non-Aboriginal languages,"Chinese languages, n.i.e.",5,0
94,Calgary,Non-Official & Non-Aboriginal languages,"Chinese, n.o.s.",1605,125
95,Calgary,Non-Official & Non-Aboriginal languages,"Creole languages, n.i.e.",65,0
96,Calgary,Non-Official & Non-Aboriginal languages,"Creole, n.o.s.",220,0
97,Calgary,Non-Official & Non-Aboriginal languages,Croatian,745,15
98,Calgary,Non-Official & Non-Aboriginal languages,"Cushitic languages, n.i.e.",5,0
99,Calgary,Non-Official & Non-Aboriginal languages,Czech,425,0
100,Calgary,Non-Official & Non-Aboriginal languages,Danish,70,0
101,Calgary,Non-Official & Non-Aboriginal languages,Dinka,445,0
102,Calgary,Non-Official & Non-Aboriginal languages,"Dravidian languages, n.i.e.",20,0
103,Calgary,Non-Official & Non-Aboriginal languages,Dutch,490,0
104,Calgary,Non-Official & Non-Aboriginal languages,Edo,25,0
105,Calgary,Non-Official & Non-Aboriginal languages,Estonian,15,0
106,Calgary,Non-Official & Non-Aboriginal languages,Ewe,15,0
